Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,0.44406256079673767,0.4637224078178406,0.8074131608009338,0.169173002243042,0.0169173002243042,10
MLP,depth_2_relu,0.432312548160553,0.450968474149704,0.6430668234825134,0.04958486557006836,0.004958486557006836,10
MLP,depth_2_silu,0.4441104531288147,0.4618571698665619,0.7849327325820923,0.17041778564453125,0.017041778564453124,10
MLP,depth_3_tanh,0.32048508524894714,0.3406921327114105,0.6336068511009216,0.19805097579956055,0.019805097579956056,10
MLP,depth_3_relu,0.31725215911865234,0.32473039627075195,0.4387938976287842,0.1588280200958252,0.01588280200958252,10
MLP,depth_3_silu,0.4041430950164795,0.42998260259628296,0.5114262700080872,0.18343186378479004,0.018343186378479003,10
MLP,depth_4_tanh,0.45059630274772644,0.4751829206943512,0.710174560546875,0.22758007049560547,0.022758007049560547,10
MLP,depth_4_relu,0.312387079000473,0.31206417083740234,0.4318564832210541,0.10413193702697754,0.010413193702697754,10
MLP,depth_4_silu,0.2746888995170593,0.2888486385345459,0.4595182538032532,0.21728205680847168,0.021728205680847167,10
MLP,depth_5_tanh,0.358376145362854,0.3756301701068878,0.5735969543457031,0.2543649673461914,0.02543649673461914,10
MLP,depth_5_relu,0.28913265466690063,0.3039840757846832,0.44771888852119446,0.22167682647705078,0.022167682647705078,10
MLP,depth_5_silu,0.3218565583229065,0.33339011669158936,0.5151633024215698,0.2411482334136963,0.024114823341369628,10
MLP,depth_6_tanh,0.2672290503978729,0.28824952244758606,0.27611613273620605,0.2897350788116455,0.02897350788116455,10
MLP,depth_6_relu,0.02661493979394436,0.02914692647755146,0.14471125602722168,0.24889922142028809,0.024889922142028807,10
MLP,depth_6_silu,0.2987804710865021,0.31245583295822144,0.32986167073249817,0.2775750160217285,0.02775750160217285,10
SIREN,depth_2,0.41131579875946045,0.43584081530570984,0.5410134792327881,0.12131786346435547,0.012131786346435547,10
SIREN,depth_3,1.2860672313763644e-06,1.3835093568559387e-06,1.4620175079471665e-06,0.22500085830688477,0.022500085830688476,10
SIREN,depth_4,4.552756217890419e-05,5.946770397713408e-05,7.305273175006732e-05,0.260206937789917,0.0260206937789917,10
SIREN,depth_5,0.001443107845261693,0.001967604737728834,0.08042743802070618,0.28035807609558105,0.028035807609558105,10
SIREN,depth_6,3.4946075174957514e-05,4.068007183377631e-05,0.00033326182165183127,0.31597065925598145,0.03159706592559815,10
KAN,grid_3,0.28901142,0.2985928,,1.1905882358551025,0.11905882358551026,1
KAN,grid_5,0.1373938,0.13333288,,1.1057038307189941,0.11057038307189941,1
KAN,grid_10,0.020761816,0.021025635,,1.1614787578582764,0.11614787578582764,1
KAN,grid_20,0.004294902,0.0043861833,,1.2641899585723877,0.12641899585723876,1
KAN,grid_50,0.0008129366,0.00084161846,,1.842710018157959,0.1842710018157959,1
KAN,grid_100,0.014548036,0.020208096,,3.422266960144043,0.3422266960144043,1
KAN_PRUNING,grid_3,0.28901142,0.2985928,,1.1304099559783936,0.11304099559783935,1
KAN_PRUNING,grid_5,0.1373938,0.13333288,,1.1187708377838135,0.11187708377838135,1
KAN_PRUNING,grid_10,0.020761816,0.021025635,,1.2555861473083496,0.12555861473083496,1
KAN_PRUNING,grid_20,0.004294902,0.0043861833,,1.327751874923706,0.1327751874923706,1
KAN_PRUNING,grid_50,0.0008129366,0.00084161846,,2.0635180473327637,0.20635180473327636,1
KAN_PRUNING,grid_100,0.014548036,0.020208096,,3.4688498973846436,0.3468849897384644,1
KAN_PRUNING,grid_pruned,0.0002116453688358888,0.00040836716652847826,0.16179384291172028,,,1
