Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,7550.72412109375,7109.798828125,8114.14501953125,0.10912680625915527,0.010912680625915527,10
MLP,depth_2_relu,10376.9638671875,10172.2958984375,13430.8466796875,0.10411310195922852,0.010411310195922851,10
MLP,depth_2_silu,9470.046875,9172.3642578125,15453.2587890625,0.10896420478820801,0.010896420478820801,10
MLP,depth_3_tanh,10730.17578125,10425.634765625,10892.1689453125,0.16900897026062012,0.01690089702606201,10
MLP,depth_3_relu,7076.19677734375,6078.43994140625,6811.357421875,0.1217641830444336,0.012176418304443359,10
MLP,depth_3_silu,11221.6298828125,10951.5615234375,13279.6943359375,0.13579273223876953,0.013579273223876953,10
MLP,depth_4_tanh,9835.115234375,9905.5869140625,10770.08203125,0.18341398239135742,0.01834139823913574,10
MLP,depth_4_relu,7620.27099609375,7952.11767578125,11708.984375,0.1551671028137207,0.015516710281372071,10
MLP,depth_4_silu,12652.0244140625,12298.751953125,12199.6357421875,0.05229902267456055,0.0052299022674560545,10
MLP,depth_5_tanh,12050.259765625,11263.880859375,12023.0908203125,0.17724180221557617,0.01772418022155762,10
MLP,depth_5_relu,,,,0.025748014450073242,0.0025748014450073242,10
MLP,depth_5_silu,9230.421875,9005.9130859375,13186.3955078125,0.18419790267944336,0.018419790267944335,10
MLP,depth_6_tanh,11043.8232421875,10881.3564453125,11807.8310546875,0.23381781578063965,0.023381781578063966,10
MLP,depth_6_relu,12667.57421875,12300.4970703125,12203.359375,0.019123315811157227,0.0019123315811157226,10
MLP,depth_6_silu,,,,0.05248689651489258,0.0052486896514892575,10
SIREN,depth_2,3136.576904296875,3297.00146484375,4017.087158203125,0.12409710884094238,0.012409710884094238,10
SIREN,depth_3,7606.91845703125,7505.06103515625,7563.607421875,0.18200421333312988,0.01820042133331299,10
SIREN,depth_4,12396.4677734375,12031.6904296875,11935.9453125,0.19194293022155762,0.01919429302215576,10
SIREN,depth_5,12656.2998046875,12310.58203125,12204.716796875,0.08699488639831543,0.008699488639831544,10
SIREN,depth_6,11357.09765625,11055.0419921875,11026.0146484375,0.31416893005371094,0.031416893005371094,10
KAN,grid_3,10.684929,10.786922,,1.1466209888458252,0.11466209888458252,1
KAN,grid_5,6.1931696,6.2208495,,1.2024319171905518,0.12024319171905518,1
KAN,grid_10,24.967781,25.769964,,1.7802999019622803,0.17802999019622803,1
KAN,grid_20,6.3516064,6.8460746,,6.439712047576904,0.6439712047576904,1
KAN,grid_50,21.72165,22.752136,,3.836577892303467,0.38365778923034666,1
KAN,grid_100,18.268948,19.131018,,5.22144889831543,0.522144889831543,1
KAN_PRUNING,grid_3,10.684929,10.786922,,0.8773019313812256,0.08773019313812255,1
KAN_PRUNING,grid_5,6.1931696,6.2208495,,0.9832279682159424,0.09832279682159424,1
KAN_PRUNING,grid_10,24.967781,25.769964,,1.0639276504516602,0.10639276504516601,1
KAN_PRUNING,grid_20,6.3516064,6.8460746,,1.213921070098877,0.1213921070098877,1
KAN_PRUNING,grid_50,21.72165,22.752136,,1.8400428295135498,0.18400428295135499,1
KAN_PRUNING,grid_100,18.268948,19.131018,,2.916688919067383,0.2916688919067383,1
KAN_PRUNING,grid_pruned,417.27978515625,455.6324157714844,9476.5634765625,,,1
