Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,1.241861613543449e-10,1.2603403043431882e-10,3.388298530637712e-10,0.022306203842163086,0.0022306203842163085,10
MLP,depth_2_relu,3.6628092225932107e-10,3.649772983838062e-10,2.5397657736903057e-05,0.015664100646972656,0.0015664100646972656,10
MLP,depth_2_silu,8.691073816180506e-08,8.621582736623168e-08,1.7475996116900205e-07,0.012566089630126953,0.0012566089630126954,10
MLP,depth_3_tanh,4.506551576355378e-09,4.360025673832979e-09,6.322158352389806e-09,0.03613996505737305,0.003613996505737305,10
MLP,depth_3_relu,1.5831442823355246e-08,3.002167847654391e-09,2.8577664679119152e-08,0.028236865997314453,0.0028236865997314452,10
MLP,depth_3_silu,3.6539529446599772e-06,3.507188921503257e-06,9.887384294415824e-06,0.023504972457885742,0.0023504972457885744,10
MLP,depth_4_tanh,1.1279330891511563e-07,1.0491200441720139e-07,2.0262703515072644e-07,0.04133009910583496,0.004133009910583496,10
MLP,depth_4_relu,6.517222761459607e-09,2.51774934234561e-09,9.684302249013399e-09,0.04208993911743164,0.004208993911743164,10
MLP,depth_4_silu,8.985361787949842e-09,8.587438315998952e-09,3.513205371064032e-08,0.026775121688842773,0.002677512168884277,10
MLP,depth_5_tanh,2.2735923721484141e-07,2.1745671574535663e-07,3.941331101486867e-07,0.050817012786865234,0.005081701278686524,10
MLP,depth_5_relu,1.0406470352108954e-08,3.4494867406920093e-08,3.172389995143021e-08,0.06599211692810059,0.006599211692810058,10
MLP,depth_5_silu,1.695047302519015e-07,1.6369941135963018e-07,6.342816050164402e-07,0.04242825508117676,0.004242825508117676,10
MLP,depth_6_tanh,3.8333894281095127e-07,3.308133216251008e-07,8.387848993152147e-07,0.04727888107299805,0.004727888107299805,10
MLP,depth_6_relu,9.253788135765717e-08,1.1782730524600993e-07,4.034040159694996e-07,0.05347108840942383,0.005347108840942383,10
MLP,depth_6_silu,9.535660439041749e-08,9.627902386455389e-08,2.8382228833834233e-07,0.05097198486328125,0.005097198486328125,10
SIREN,depth_2,8.479515978265795e-10,7.953535607896356e-10,1.8064767459691211e-09,0.022301197052001953,0.002230119705200195,10
SIREN,depth_3,3.291171069008669e-08,3.327464170865824e-08,1.0769276315159004e-07,0.10859012603759766,0.010859012603759766,10
SIREN,depth_4,2.4169883872104947e-08,2.5250788127095802e-08,8.70704843691783e-06,0.2427361011505127,0.024273610115051268,10
SIREN,depth_5,1.3176315150076334e-08,1.3147786859235566e-08,1.3466435078157701e-08,0.25861024856567383,0.025861024856567383,10
SIREN,depth_6,0.000313255877699703,0.0006692975293844938,0.0013357567368075252,0.3580441474914551,0.03580441474914551,10
KAN,grid_3,0.00018476904,0.0001755381,,1.4860448837280273,0.14860448837280274,1
KAN,grid_5,8.6092696e-05,8.50364e-05,,2.0473711490631104,0.20473711490631102,1
KAN,grid_10,9.500658e-06,9.528223e-06,,1.7678279876708984,0.17678279876708985,1
KAN,grid_20,1.1410764e-06,1.1775923e-06,,2.031325101852417,0.2031325101852417,1
KAN,grid_50,0.00020439013,0.00032148525,,3.2123379707336426,0.32123379707336425,1
KAN,grid_100,0.114582136,0.14790498,,5.314371824264526,0.5314371824264527,1
